name,pose,truncated,difficult,xmin,ymin,xmax,ymax,Image
inclusion,Unspecified,1,0,52,1,105,198,inclusion_201
inclusion,Unspecified,0,0,117,94,139,168,inclusion_201
scratches,Unspecified,1,0,77,1,97,198,scratches_66
scratches,Unspecified,1,0,103,1,123,198,scratches_66
scratches,Unspecified,0,0,130,13,145,120,scratches_66
pitted_surface,Unspecified,0,0,8,1,91,179,pitted_surface_20
pitted_surface,Unspecified,0,0,97,1,199,200,pitted_surface_20
inclusion,Unspecified,0,0,92,109,118,161,inclusion_68
inclusion,Unspecified,0,0,154,6,171,66,inclusion_68
rolled-in_scale,Unspecified,1,0,24,124,162,200,rolled-in_scale_292
rolled-in_scale,Unspecified,0,0,70,41,143,132,rolled-in_scale_292
rolled-in_scale,Unspecified,1,0,95,1,146,51,rolled-in_scale_292
rolled-in_scale,Unspecified,0,0,47,11,90,46,rolled-in_scale_292
pitted_surface,Unspecified,1,0,1,1,182,197,pitted_surface_73
pitted_surface,Unspecified,0,0,137,37,199,199,pitted_surface_73
crazing,Unspecified,0,0,75,18,199,72,crazing_27
crazing,Unspecified,0,0,6,74,116,190,crazing_27
pitted_surface,Unspecified,0,0,8,6,111,161,pitted_surface_247
patches,Unspecified,1,0,20,171,73,200,pitted_surface_247
scratches,Unspecified,1,0,39,101,58,200,scratches_222
scratches,Unspecified,0,0,98,2,117,147,scratches_222
scratches,Unspecified,0,0,28,21,45,86,scratches_222
inclusion,Unspecified,0,0,155,2,186,197,scratches_222
inclusion,Unspecified,1,1,137,70,149,200,scratches_222
scratches,Unspecified,1,0,144,1,184,198,scratches_53
rolled-in_scale,Unspecified,1,0,132,3,200,86,rolled-in_scale_51
rolled-in_scale,Unspecified,1,0,1,161,81,200,rolled-in_scale_51
rolled-in_scale,Unspecified,0,0,133,126,199,156,rolled-in_scale_51
crazing,Unspecified,0,0,3,117,145,184,crazing_178
crazing,Unspecified,0,0,13,38,93,114,crazing_178
inclusion,Unspecified,1,0,56,1,89,117,inclusion_45
inclusion,Unspecified,0,0,2,8,37,148,inclusion_45
inclusion,Unspecified,0,0,53,129,75,197,inclusion_45
inclusion,Unspecified,0,0,148,54,172,113,inclusion_45
inclusion,Unspecified,0,0,84,6,107,88,inclusion_45
inclusion,Unspecified,0,0,27,78,44,114,inclusion_45
inclusion,Unspecified,0,0,103,147,120,176,inclusion_45
patches,Unspecified,0,0,97,139,164,199,patches_274
inclusion,Unspecified,0,1,100,91,128,128,patches_274
crazing,Unspecified,1,0,1,47,136,101,crazing_168
crazing,Unspecified,1,0,1,106,129,188,crazing_168
rolled-in_scale,Unspecified,0,0,10,130,97,192,rolled-in_scale_162
rolled-in_scale,Unspecified,0,0,6,50,98,117,rolled-in_scale_162
rolled-in_scale,Unspecified,0,0,83,24,163,66,rolled-in_scale_237
rolled-in_scale,Unspecified,0,0,84,71,175,179,rolled-in_scale_237
rolled-in_scale,Unspecified,0,0,28,104,77,183,rolled-in_scale_20
rolled-in_scale,Unspecified,0,0,107,38,199,194,rolled-in_scale_20
rolled-in_scale,Unspecified,1,0,106,1,150,33,rolled-in_scale_20
inclusion,Unspecified,0,0,138,125,162,180,inclusion_138
inclusion,Unspecified,0,0,173,17,187,39,inclusion_138
scratches,Unspecified,1,0,1,22,199,54,scratches_104
crazing,Unspecified,0,0,90,10,179,101,crazing_167
crazing,Unspecified,0,0,59,133,198,186,crazing_167
pitted_surface,Unspecified,1,0,48,1,200,200,pitted_surface_248
pitted_surface,Unspecified,1,1,1,75,45,200,pitted_surface_248
rolled-in_scale,Unspecified,1,0,71,1,150,55,rolled-in_scale_226
rolled-in_scale,Unspecified,0,0,84,71,158,152,rolled-in_scale_226
rolled-in_scale,Unspecified,0,0,67,62,129,158,rolled-in_scale_110
rolled-in_scale,Unspecified,0,0,79,32,130,72,rolled-in_scale_110
inclusion,Unspecified,0,0,10,6,53,189,inclusion_167
inclusion,Unspecified,1,0,110,1,144,200,inclusion_167
inclusion,Unspecified,0,0,92,10,114,86,inclusion_167
pitted_surface,Unspecified,0,0,117,2,199,198,pitted_surface_93
pitted_surface,Unspecified,1,0,7,1,106,200,pitted_surface_93
rolled-in_scale,Unspecified,0,0,87,13,152,68,rolled-in_scale_56
rolled-in_scale,Unspecified,0,0,82,122,148,182,rolled-in_scale_56
rolled-in_scale,Unspecified,0,0,19,129,69,173,rolled-in_scale_26
rolled-in_scale,Unspecified,0,0,52,20,86,91,rolled-in_scale_26
rolled-in_scale,Unspecified,0,0,114,60,157,119,rolled-in_scale_26
rolled-in_scale,Unspecified,0,0,33,3,157,193,rolled-in_scale_150
rolled-in_scale,Unspecified,1,0,128,1,170,45,rolled-in_scale_150
scratches,Unspecified,0,0,14,43,32,198,scratches_214
scratches,Unspecified,1,0,128,1,154,200,scratches_214
inclusion,Unspecified,0,0,25,56,63,195,inclusion_187
pitted_surface,Unspecified,0,0,2,1,68,199,pitted_surface_41
pitted_surface,Unspecified,0,0,77,1,200,199,pitted_surface_41
inclusion,Unspecified,1,0,21,1,55,143,inclusion_117
inclusion,Unspecified,0,0,34,146,86,189,inclusion_117
inclusion,Unspecified,1,0,62,1,91,90,inclusion_117
inclusion,Unspecified,0,0,116,26,133,101,inclusion_117
pitted_surface,Unspecified,0,0,1,1,200,198,pitted_surface_36
scratches,Unspecified,1,0,79,49,93,200,scratches_97
scratches,Unspecified,0,0,112,9,129,194,scratches_97
inclusion,Unspecified,0,0,42,97,56,142,scratches_97
scratches,Unspecified,0,0,20,61,35,185,scratches_12
scratches,Unspecified,1,0,23,1,36,46,scratches_12
inclusion,Unspecified,0,0,3,20,20,52,inclusion_287
inclusion,Unspecified,0,0,27,137,46,190,inclusion_287
inclusion,Unspecified,0,0,91,3,113,137,inclusion_287
inclusion,Unspecified,0,0,145,7,174,182,inclusion_287
inclusion,Unspecified,0,0,21,47,45,138,inclusion_287
inclusion,Unspecified,0,0,3,105,21,146,inclusion_287
inclusion,Unspecified,0,0,28,19,42,49,inclusion_287
inclusion,Unspecified,0,0,2,50,19,107,inclusion_287
inclusion,Unspecified,1,0,39,1,92,197,inclusion_131
crazing,Unspecified,1,0,36,1,196,105,crazing_293
crazing,Unspecified,0,0,8,49,134,129,crazing_293
crazing,Unspecified,0,0,29,121,172,188,crazing_293
rolled-in_scale,Unspecified,0,0,74,42,174,102,rolled-in_scale_9
patches,Unspecified,0,0,164,74,199,110,patches_77
patches,Unspecified,0,0,136,153,197,199,patches_77
patches,Unspecified,1,0,23,1,52,32,patches_77
patches,Unspecified,0,0,104,1,148,42,patches_163
patches,Unspecified,0,0,1,1,67,25,patches_163
